,frame,x,y
11,24,840,428
12,24,850,407
13,24,856,386
14,24,856,364
15,24,854,343
16,24,850,322
17,24,705,315
18,24,711,299
19,24,724,289
20,24,740,287
21,24,755,290
22,24,786,287
23,24,799,282
24,24,813,281
25,24,826,286
26,24,832,298
27,24,773,317
28,24,776,333
29,24,778,348
30,24,781,364
31,24,761,378
32,24,772,378
33,24,783,379
34,24,793,375
35,24,801,371
36,24,723,328
37,24,731,325
38,24,740,323
39,24,750,326
40,24,741,327
41,24,732,328
42,24,795,320
43,24,803,315
44,24,811,314
45,24,819,315
46,24,812,317
47,24,804,318
48,24,745,408
49,24,760,401
50,24,774,396
51,24,785,396
52,24,796,393
53,24,809,392
54,24,821,394
55,24,814,413
56,24,802,424
57,24,790,428
58,24,778,429
59,24,762,423
60,24,750,408
61,24,776,401
62,24,786,400
63,24,797,397
64,24,818,396
65,24,799,414
66,24,788,418
67,24,777,419
0,25,693,342
1,25,696,365
2,25,698,388
3,25,704,410
4,25,716,430
5,25,734,448
6,25,753,463
7,25,775,472
8,25,797,471
9,25,817,463
10,25,831,446
11,25,842,427
12,25,852,408
13,25,857,388
14,25,858,367
15,25,856,346
16,25,854,327
17,25,714,316
18,25,720,300
19,25,733,290
20,25,749,288
21,25,763,292
22,25,793,289
23,25,805,282
24,25,819,282
25,25,832,289
26,25,838,303
27,25,781,317
28,25,783,331
29,25,784,345
30,25,786,360
31,25,766,375
32,25,776,376
33,25,787,377
34,25,796,373
35,25,804,369
36,25,732,329
37,25,740,324
38,25,749,322
39,25,758,326
40,25,750,328
41,25,741,329
42,25,799,321
43,25,807,315
44,25,816,314
45,25,824,318
46,25,816,319
47,25,808,320
48,25,748,407
49,25,762,398
50,25,777,394
51,25,788,395
52,25,798,391
53,25,812,390
54,25,823,394
55,25,816,412
56,25,804,423
57,25,793,427
58,25,781,427
59,25,765,422
60,25,752,406
61,25,778,399
62,25,789,398
63,25,800,395
64,25,819,395
65,25,802,413
66,25,791,417
67,25,779,417
0,26,691,337
1,26,692,363
2,26,696,389
3,26,704,414
4,26,719,434
5,26,738,453
6,26,758,468
7,26,781,476
8,26,803,473
9,26,821,464
10,26,834,445
11,26,845,426
12,26,856,405
13,26,862,383
14,26,864,360
15,26,862,338
16,26,856,316
17,26,708,316
18,26,715,300
19,26,730,290
20,26,747,288
21,26,765,291
22,26,792,288
23,26,806,281
24,26,820,278
25,26,835,280
26,26,844,292
27,26,782,311
28,26,785,329
29,26,787,347
30,26,790,365
31,26,767,378
32,26,779,379
33,26,791,381
34,26,802,376
35,26,811,371
36,26,727,320
37,26,735,314
38,26,744,312
39,26,755,318
40,26,746,320
41,26,736,321
42,26,806,311
43,26,815,302
